city,city_ascii,state_id,state_name,county_name,lat,lng,zips
Rancho Viejo,Rancho Viejo,TX,Texas,Cameron,26.0358,-97.5568,78575
Hickman,Hickman,NE,Nebraska,Lancaster,40.6248,-96.6307,68372
Ford City,Ford City,PA,Pennsylvania,Armstrong,40.7693,-79.5327,16226
West Union,West Union,OH,Ohio,Adams,38.7917,-83.5441,45693
Roman Forest,Roman Forest,TX,Texas,Montgomery,30.1811,-95.1551,77357
Ithaca,Ithaca,MI,Michigan,Gratiot,43.2911,-84.5956,48847
Almont,Almont,MI,Michigan,Lapeer,42.9206,-83.0434,48003
Bath,Bath,PA,Pennsylvania,Northampton,40.7279,-75.3919,18014
Voorheesville,Voorheesville,NY,New York,Albany,42.6517,-73.9347,12186
Marietta,Marietta,PA,Pennsylvania,Lancaster,40.0574,-76.5515,17547
Lakeside Park,Lakeside Park,KY,Kentucky,Kenton,39.0339,-84.5673,41017
Liberty City,Liberty City,TX,Texas,Gregg,32.4502,-94.9439,75662 75647
South Hutchinson,South Hutchinson,KS,Kansas,Reno,38.0278,-97.9429,67505 67504
Caledonia,Caledonia,MN,Minnesota,Houston,43.6344,-91.5009,55921
Holualoa,Holualoa,HI,Hawaii,Hawaii,19.6548,-155.9207,96725
Kewaunee,Kewaunee,WI,Wisconsin,Kewaunee,44.4607,-87.5132,54216
Knob Noster,Knob Noster,MO,Missouri,Johnson,38.7674,-93.5617,65336
Belle Meade,Belle Meade,TN,Tennessee,Davidson,36.0994,-86.8562,37215 37205
Marengo,Marengo,IA,Iowa,Iowa,41.7961,-92.0675,52301
Donalsonville,Donalsonville,GA,Georgia,Seminole,31.0404,-84.8792,39845
East Sonora,East Sonora,CA,California,Tuolumne,37.9774,-120.3409,95370
Pembroke,Pembroke,NC,North Carolina,Robeson,34.6766,-79.1935,28372
Santa Claus,Santa Claus,IN,Indiana,Spencer,38.1168,-86.9293,47523 47579
Holly Lake Ranch,Holly Lake Ranch,TX,Texas,Wood,32.7125,-95.2003,75765
Sibley,Sibley,IA,Iowa,Osceola,43.4015,-95.743,51249
Federalsburg,Federalsburg,MD,Maryland,Caroline,38.6929,-75.7727,21632
Heyworth,Heyworth,IL,Illinois,McLean,40.3138,-88.9928,61745
Osceola,Osceola,WI,Wisconsin,Polk,45.3193,-92.6936,54020
Lake Success,Lake Success,NY,New York,Nassau,40.768,-73.7089,11042 11020
Licking,Licking,MO,Missouri,Texas,37.4993,-91.8618,65542
Decherd,Decherd,TN,Tennessee,Franklin,35.2156,-86.0757,37398 37324
Murfreesboro,Murfreesboro,NC,North Carolina,Hertford,36.4419,-77.0968,27818 27855
Poplarville,Poplarville,MS,Mississippi,Pearl River,30.8391,-89.5306,39470
St. Henry,St. Henry,OH,Ohio,Mercer,40.421,-84.6324,45883
Irvine,Irvine,KY,Kentucky,Estill,37.6964,-83.9678,40336
South Oroville,South Oroville,CA,California,Butte,39.4767,-121.5439,95966
Cumberland Center,Cumberland Center,ME,Maine,Cumberland,43.7982,-70.2541,04021
Westminster,Westminster,LA,Louisiana,East Baton Rouge,30.408,-91.0906,70809
Montgomery City,Montgomery City,MO,Missouri,Montgomery,38.9737,-91.5024,63361
Spearman,Spearman,TX,Texas,Hansford,36.1982,-101.1943,79081
Rafael González,Rafael Gonzalez,PR,Puerto Rico,Hatillo,18.4264,-66.7872,00659
South Bloomfield,South Bloomfield,OH,Ohio,Pickaway,39.7168,-82.993,43103
Windsor,Windsor,VA,Virginia,Isle of Wight,36.8095,-76.7406,23487
Glenrock,Glenrock,WY,Wyoming,Converse,42.8565,-105.8625,82637
Moline Acres,Moline Acres,MO,Missouri,St. Louis,38.7456,-90.243,63136 63137
Garrettsville,Garrettsville,OH,Ohio,Portage,41.2844,-81.0932,44231
West Portsmouth,West Portsmouth,OH,Ohio,Scioto,38.7622,-83.0417,45663
Davis,Davis,OK,Oklahoma,Murray,34.4575,-97.1566,73030
Blackhawk,Blackhawk,SD,South Dakota,Meade,44.1514,-103.334,57718
